Scanning directory: ./TestFiles
./TestFiles\sifreli (1).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (1).pdf: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (1).pptx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (1).rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (1).xlsx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (1).zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (10).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (10).pdf: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (10).pptx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (10).rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (10).xlsx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (10).zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (11).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (11).pdf: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (11).pptx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (11).rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (11).xlsx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (11).zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (12).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (12).pdf: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (12).pptx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (12).rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (12).xlsx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (12).zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (13).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (13).pdf: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (13).pptx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (13).rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (13).xlsx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (13).zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (14).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (14).pdf: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (14).pptx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (14).rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (14).xlsx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (14).zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (15).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (15).pdf: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (15).pptx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (15).rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (15).xlsx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (15).zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (2).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (2).pdf: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (2).pptx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (2).rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (2).xlsx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (2).zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (3).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (3).pdf: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (3).pptx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (3).rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
