Scanning directory: C:\Users\VICTUS\Desktop\Sertaç

C:\Users\VICTUS\Desktop\Sertaç\Gunluk.rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00, Time: 2.0959s)
C:\Users\VICTUS\Desktop\Sertaç\Gunluk2.rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00, Time: 1.9709s)
C:\Users\VICTUS\Desktop\Sertaç\Ice Cold.zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00, Time: 1.8854s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\ceng383\KnightsShortestPath.java: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 1.8151s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\ceng383\README.md: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 1.8110s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\ceng383\SpellChecker.java: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 1.8154s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\ceng383\Trie.java: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 1.8171s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\ceng383\pdfs\L1_UndirectedGraphs.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.8783s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\ceng383\pdfs\L2_DirectedGraphs.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.8467s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\ceng383\pdfs\L3_MST.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.8449s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\ceng383\pdfs\L4_ShortestPaths.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.8705s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\ceng383\pdfs\L5_StringSorts.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.9956s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\ceng383\pdfs\L6_Tries.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.9992s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\ceng383\pdfs\L7_SubstringSearch.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.9506s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\ceng383\pdfs\L8 Regular Expressions.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.8627s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\ceng383\pdfs\L9_DesignParadigms.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.9464s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\0\Rus alfabesi.pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1017s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\0\RUSÇA SÖZCÜKLER-VİZE-SESLİ.pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1107s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\1\nezaket sözcükleri-tanışma-okuma.docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1022s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\1\NEZAKET SÖZCÜKLERİ-SESLİ.pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1046s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\1\RUS 1-nezaket sözcükleri (6)-HAFTALIK EV ÖDEVİ .docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1175s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\1\RUS-101-OKUMA - тоже (1).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1163s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\10\202328007_TermProject.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.9846s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\10\RUS-101-1.GRUP FİİLLERİ-1.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.9805s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\10\RUS-101-1.GRUP FİİLLERİ-1.pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0944s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\10\RUS-101-KONU TEKRARI-FİNALE HAZIRLIK .pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.9717s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\10\RUS-101-KONU TEKRARI-FİNALE HAZIRLIK .pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0971s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\10\SENG477_Term_Project.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.9784s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\2\Rus 101- soRU SÖZCÜĞÜ OLMAYAN SORU-ev ödevi-2.docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0932s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\2\Rus-101- КТО-ЧТО.  (1).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1064s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\2\RUS-101-soru sözcüğü olan sorular ve cevapları .pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.9824s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\2\RUS-101-soru sözcüğü olan sorular ve cevapları .pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1288s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\2\SORU SÖZCÜĞÜ OLMAYAN SORU LAR VE CEVAPLARI (2).pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0189s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\2\SORU SÖZCÜĞÜ OLMAYAN SORU LAR VE CEVAPLARI (2).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1005s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\3\RUS 101 CİNSİYETLER. KİŞİ ZAMİRLERİ (1).pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0148s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\4\RUS-101-KONU TEKARI. ARA SINAVINA HAZIRLIK.  .pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.9926s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\rus101\5\RUS 101 - İYELİK ZAMİRLERİ -2.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 1.9921s)
